Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserValidation,,,2020-03-03 14:29:31,2020-03-03 14:29:37,5.602s,PASSED
,,,,,,
Test Cases/User/Validate user Details,,,2020-03-03 14:29:31,2020-03-03 14:29:37,5.247s,PASSED
"response = sendRequest(findTestObject(""User/Getuserdetails""))",,,2020-03-03 14:29:32,2020-03-03 14:29:36,4.684s,PASSED
"verifyResponseStatusCode(response, 200)",,,2020-03-03 14:29:36,2020-03-03 14:29:36,0.033s,PASSED
"verifyElementPropertyValue(response, ""data.first_name"", ""Janet"")",,,2020-03-03 14:29:36,2020-03-03 14:29:37,0.074s,PASSED
