Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserValidation,,,2020-03-04 17:29:57,2020-03-04 17:30:02,4.881s,PASSED
,,,,,,
Test Cases/User/Validate user Details,,,2020-03-04 17:29:57,2020-03-04 17:30:02,4.527s,PASSED
"response = sendRequest(findTestObject(""User/Getuserdetails""))",,,2020-03-04 17:29:58,2020-03-04 17:30:02,4.022s,PASSED
"verifyResponseStatusCode(response, 200)",,,2020-03-04 17:30:02,2020-03-04 17:30:02,0.027s,PASSED
"verifyElementPropertyValue(response, ""data.first_name"", ""Janet"")",,,2020-03-04 17:30:02,2020-03-04 17:30:02,0.072s,PASSED
