Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserValidation,,,2020-03-04 17:30:25,2020-03-04 17:30:30,4.882s,PASSED
,,,,,,
Test Cases/User/Validate user Details,,,2020-03-04 17:30:26,2020-03-04 17:30:30,4.567s,PASSED
"response = sendRequest(findTestObject(""User/Getuserdetails""))",,,2020-03-04 17:30:26,2020-03-04 17:30:30,4.080s,PASSED
"verifyResponseStatusCode(response, 200)",,,2020-03-04 17:30:30,2020-03-04 17:30:30,0.032s,PASSED
"verifyElementPropertyValue(response, ""data.first_name"", ""Janet"")",,,2020-03-04 17:30:30,2020-03-04 17:30:30,0.070s,PASSED
