Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserValidation,,,2020-02-26 13:57:41,2020-02-26 13:57:47,5.490s,PASSED
,,,,,,
Test Cases/User/Validate user Details,,,2020-02-26 13:57:41,2020-02-26 13:57:47,5.138s,PASSED
"response = sendRequest(findTestObject(""User/Getuserdetails""))",,,2020-02-26 13:57:42,2020-02-26 13:57:47,4.506s,PASSED
"verifyResponseStatusCode(response, 200)",,,2020-02-26 13:57:47,2020-02-26 13:57:47,0.040s,PASSED
"verifyElementPropertyValue(response, ""data.first_name"", ""Janet"")",,,2020-02-26 13:57:47,2020-02-26 13:57:47,0.081s,PASSED
